Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Year
,,,29.0,0.0,8.0,1.0,20.0,193.0,38.0,138.0,17.0,1.0,2020
,,,55.0,0.0,14.0,2.0,39.0,170.0,25.0,141.0,4.0,0.0,2020
,,,215.0,0.0,19.0,21.0,175.0,,181.0,942.0,118.0,5.0,2020
,,,183.0,0.0,23.0,6.0,154.0,857.0,94.0,707.0,56.0,1.0,2020
,,,12.0,0.0,1.0,3.0,8.0,145.0,23.0,113.0,9.0,0.0,2020
,,,158.0,18.0,10.0,21.0,109.0,705.0,83.0,600.0,22.0,1.0,2020
,,,5.0,0.0,3.0,0.0,2.0,19.0,1.0,15.0,3.0,1.0,2020
,,,13.0,0.0,1.0,0.0,12.0,76.0,17.0,54.0,5.0,0.0,2020
,,734.0,5.0,0.0,2.0,0.0,3.0,7.0,0.0,6.0,1.0,0.0,2020
,,,19.0,1.0,0.0,2.0,16.0,87.0,21.0,51.0,15.0,1.0,2020
,,,39.0,0.0,9.0,4.0,26.0,807.0,50.0,721.0,36.0,0.0,2020
,,,7.0,0.0,2.0,1.0,4.0,25.0,7.0,18.0,0.0,0.0,2020
,,,102.0,0.0,28.0,10.0,64.0,372.0,75.0,253.0,44.0,1.0,2020
,,637.0,2.0,0.0,0.0,0.0,2.0,35.0,7.0,24.0,4.0,0.0,2020
,,,114.0,1.0,5.0,8.0,100.0,323.0,87.0,217.0,19.0,2.0,2020
,,713.0,1.0,0.0,0.0,0.0,1.0,21.0,0.0,20.0,1.0,0.0,2020
,,,0.0,0.0,0.0,0.0,0.0,13.0,4.0,8.0,1.0,2.0,2020
,,,2.0,0.0,1.0,0.0,1.0,68.0,15.0,48.0,5.0,0.0,2020
,,,3.0,0.0,1.0,0.0,2.0,33.0,8.0,23.0,2.0,0.0,2020
,,,11.0,2.0,2.0,0.0,7.0,88.0,37.0,44.0,7.0,2.0,2020
,,576.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,8.0,1.0,0.0,2020
,,,6.0,0.0,1.0,0.0,5.0,50.0,24.0,24.0,2.0,0.0,2020
,,,33.0,1.0,11.0,2.0,19.0,247.0,25.0,199.0,23.0,0.0,2020
,,,4.0,0.0,0.0,0.0,4.0,47.0,8.0,37.0,2.0,0.0,2020
,,,359.0,3.0,45.0,29.0,282.0,,159.0,,128.0,7.0,2020
,,,6.0,0.0,1.0,0.0,5.0,45.0,9.0,27.0,9.0,0.0,2020
,,949.0,2.0,0.0,0.0,0.0,2.0,21.0,4.0,15.0,2.0,0.0,2020
,,,33.0,1.0,3.0,1.0,28.0,155.0,47.0,98.0,10.0,0.0,2020
,,382.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,2020
,,,7.0,0.0,1.0,1.0,5.0,23.0,11.0,12.0,0.0,0.0,2020
,,,31.0,0.0,5.0,3.0,23.0,77.0,28.0,48.0,1.0,0.0,2020
,,,18.0,0.0,4.0,1.0,13.0,45.0,6.0,34.0,5.0,0.0,2020
,,,26.0,0.0,4.0,3.0,19.0,182.0,59.0,112.0,11.0,0.0,2020
,,,11.0,0.0,2.0,0.0,9.0,13.0,2.0,10.0,1.0,0.0,2020
,,,19.0,0.0,2.0,0.0,17.0,74.0,16.0,56.0,2.0,2.0,2020
,,802.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2020
,,,4.0,0.0,0.0,0.0,4.0,5.0,1.0,3.0,1.0,1.0,2020
,,,7.0,0.0,1.0,0.0,6.0,31.0,7.0,20.0,4.0,0.0,2020
,,,32.0,0.0,3.0,5.0,24.0,31.0,13.0,18.0,0.0,0.0,2020
,,,16.0,0.0,1.0,0.0,15.0,47.0,12.0,35.0,0.0,1.0,2020
,,,241.0,8.0,14.0,24.0,195.0,794.0,363.0,377.0,54.0,7.0,2020
,,313.0,2.0,0.0,0.0,0.0,2.0,11.0,4.0,5.0,2.0,0.0,2020
,,,5.0,1.0,0.0,0.0,4.0,24.0,8.0,16.0,0.0,6.0,2020
,,,11.0,0.0,1.0,0.0,10.0,73.0,18.0,50.0,5.0,0.0,2020
,,,13.0,0.0,1.0,0.0,12.0,42.0,12.0,26.0,4.0,0.0,2020
,,,18.0,0.0,7.0,1.0,10.0,75.0,18.0,43.0,14.0,0.0,2020
,,,517.0,6.0,66.0,55.0,390.0,,411.0,,527.0,15.0,2020
,,,5.0,1.0,3.0,0.0,1.0,47.0,7.0,37.0,3.0,0.0,2020
,,,61.0,0.0,5.0,3.0,53.0,146.0,26.0,112.0,8.0,0.0,2020
,,,223.0,4.0,13.0,9.0,197.0,614.0,95.0,440.0,79.0,9.0,2020
,,,,7.0,96.0,106.0,822.0,,637.0,,518.0,17.0,2020
,,,4.0,0.0,0.0,0.0,4.0,46.0,4.0,41.0,1.0,0.0,2020
,,,17.0,0.0,3.0,0.0,14.0,21.0,1.0,13.0,7.0,0.0,2020
,,680.0,2.0,0.0,2.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,2020
,,,23.0,0.0,3.0,0.0,20.0,52.0,9.0,37.0,6.0,0.0,2020
,,,1.0,0.0,1.0,0.0,0.0,14.0,0.0,12.0,2.0,0.0,2020
,,,36.0,1.0,11.0,1.0,23.0,38.0,7.0,28.0,3.0,0.0,2020
,,,3.0,0.0,2.0,0.0,1.0,13.0,1.0,10.0,2.0,0.0,2020
,,,20.0,0.0,4.0,1.0,15.0,32.0,9.0,21.0,2.0,0.0,2020
,,,26.0,0.0,6.0,0.0,20.0,40.0,22.0,16.0,2.0,1.0,2020
,,851.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,2020
,,,4.0,0.0,0.0,0.0,4.0,15.0,8.0,7.0,0.0,0.0,2020
,,,10.0,0.0,4.0,0.0,6.0,47.0,9.0,32.0,6.0,0.0,2020
,,,46.0,0.0,9.0,1.0,36.0,237.0,45.0,175.0,17.0,2.0,2020
,,,5.0,0.0,0.0,1.0,4.0,40.0,15.0,22.0,3.0,1.0,2020
,,,10.0,0.0,0.0,0.0,10.0,16.0,9.0,6.0,1.0,0.0,2020
,,,37.0,0.0,10.0,1.0,26.0,263.0,64.0,174.0,25.0,0.0,2020
,,,165.0,14.0,6.0,16.0,129.0,495.0,143.0,328.0,24.0,19.0,2020
,,641.0,5.0,0.0,1.0,0.0,4.0,5.0,3.0,0.0,2.0,0.0,2020
,,,9.0,0.0,2.0,0.0,7.0,23.0,2.0,19.0,2.0,0.0,2020
,,,122.0,1.0,15.0,6.0,100.0,337.0,82.0,230.0,25.0,2.0,2020
,,,287.0,9.0,39.0,43.0,196.0,,656.0,,189.0,7.0,2020
,,,12.0,0.0,1.0,0.0,11.0,15.0,4.0,9.0,2.0,1.0,2020
,,,327.0,8.0,21.0,35.0,263.0,,220.0,879.0,164.0,11.0,2020
,,103.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,2020
,,,8.0,0.0,1.0,0.0,7.0,95.0,45.0,41.0,9.0,0.0,2020
,,,642.0,12.0,78.0,55.0,497.0,,,,211.0,13.0,2020
,,,12.0,0.0,2.0,0.0,10.0,34.0,14.0,15.0,5.0,0.0,2020
,,,3.0,0.0,1.0,0.0,2.0,13.0,5.0,7.0,1.0,0.0,2020
,,718.0,5.0,0.0,3.0,0.0,2.0,10.0,2.0,7.0,1.0,0.0,2020
,,,6.0,1.0,0.0,1.0,4.0,51.0,9.0,41.0,1.0,0.0,2020
,,,13.0,0.0,4.0,0.0,9.0,40.0,17.0,20.0,3.0,1.0,2020
