State,City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Year
,Redlands,73554.0,206.0,1.0,31.0,81.0,93.0,2265.0,292.0,1713.0,260.0,7.0,2022
,Redondo Beach,68332.0,282.0,0.0,11.0,78.0,193.0,1561.0,280.0,1108.0,173.0,,2022
,Redwood City,79182.0,312.0,2.0,41.0,99.0,170.0,1578.0,234.0,1079.0,265.0,,2022
,Reedley,25269.0,148.0,3.0,11.0,12.0,122.0,352.0,88.0,199.0,65.0,,2022
,Rialto,104589.0,525.0,3.0,61.0,152.0,309.0,3036.0,384.0,2137.0,515.0,,2022
,Richmond,115043.0,1005.0,17.0,24.0,240.0,724.0,3117.0,252.0,1830.0,1035.0,33.0,2022
,Ridgecrest,28290.0,162.0,2.0,16.0,22.0,122.0,390.0,109.0,218.0,63.0,5.0,2022
,Rio Dell,3382.0,20.0,0.0,3.0,2.0,15.0,76.0,9.0,59.0,8.0,1.0,2022
,Rio Vista,10352.0,36.0,0.0,2.0,1.0,33.0,90.0,10.0,68.0,12.0,,2022
,Ripon,16789.0,25.0,0.0,6.0,6.0,13.0,196.0,14.0,167.0,15.0,,2022
,Riverbank,24834.0,50.0,1.0,2.0,21.0,26.0,356.0,56.0,268.0,32.0,,2022
,Riverside,319889.0,1652.0,17.0,138.0,434.0,1063.0,10366.0,1563.0,7058.0,1745.0,171.0,2022
,Rocklin,74168.0,90.0,1.0,15.0,19.0,55.0,942.0,102.0,768.0,72.0,9.0,2022
,Rohnert Park,44479.0,174.0,0.0,34.0,20.0,120.0,694.0,111.0,479.0,104.0,,2022
,Rolling Hills,1667.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,,2022
,Rolling Hills Estates,8041.0,9.0,0.0,1.0,4.0,4.0,135.0,48.0,85.0,2.0,,2022
,Rosemead,49368.0,218.0,0.0,21.0,77.0,120.0,1436.0,380.0,779.0,277.0,,2022
,Roseville,155448.0,254.0,2.0,38.0,89.0,125.0,2930.0,285.0,2372.0,273.0,,2022
,Ross,2320.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,13.0,1.0,,2022
,Sacramento,526671.0,4749.0,54.0,186.0,1243.0,3266.0,16681.0,2769.0,10328.0,3584.0,204.0,2022
,Salinas,162187.0,845.0,13.0,91.0,245.0,496.0,2720.0,340.0,1695.0,685.0,,2022
,San Bernardino,222623.0,2640.0,72.0,112.0,675.0,1781.0,6578.0,1244.0,3608.0,1726.0,91.0,2022
,San Bruno,40817.0,118.0,1.0,14.0,40.0,63.0,1054.0,128.0,770.0,156.0,,2022
,San Clemente,63449.0,118.0,0.0,7.0,23.0,88.0,778.0,112.0,528.0,138.0,3.0,2022
,Sand City,335.0,8.0,0.0,1.0,3.0,4.0,74.0,3.0,69.0,2.0,0.0,2022
,San Diego,1377838.0,5932.0,53.0,410.0,1288.0,4181.0,25044.0,3290.0,15106.0,6648.0,174.0,2022
,San Dimas,33339.0,92.0,0.0,16.0,16.0,60.0,776.0,143.0,549.0,84.0,,2022
,San Fernando,23501.0,93.0,1.0,3.0,36.0,53.0,417.0,61.0,260.0,96.0,,2022
,San Francisco,764693.0,5323.0,55.0,308.0,2371.0,2589.0,47759.0,5947.0,35530.0,6282.0,344.0,2022
,Sanger,26806.0,143.0,1.0,9.0,15.0,118.0,313.0,26.0,250.0,37.0,,2022
,San Jacinto,56521.0,111.0,2.0,4.0,49.0,56.0,1222.0,194.0,828.0,200.0,,2022
,San Jose,956814.0,5046.0,35.0,894.0,1264.0,2853.0,25363.0,3884.0,15010.0,6469.0,176.0,2022
,San Juan Capistrano,34698.0,72.0,1.0,1.0,10.0,60.0,432.0,98.0,253.0,81.0,2.0,2022
,San Leandro,86465.0,499.0,4.0,13.0,303.0,179.0,4254.0,480.0,2499.0,1275.0,,2022
,San Luis Obispo,47990.0,267.0,0.0,38.0,40.0,189.0,1745.0,254.0,1372.0,119.0,,2022
,San Marcos,94879.0,206.0,0.0,7.0,62.0,137.0,1007.0,185.0,644.0,178.0,5.0,2022
,San Marino,12015.0,9.0,0.0,0.0,2.0,7.0,173.0,65.0,88.0,20.0,1.0,2022
,San Mateo,99184.0,302.0,1.0,30.0,63.0,208.0,2330.0,536.0,1451.0,343.0,,2022
,San Pablo,31498.0,232.0,0.0,12.0,65.0,155.0,763.0,78.0,331.0,354.0,,2022
,San Rafael,60386.0,323.0,1.0,49.0,78.0,195.0,1822.0,183.0,1085.0,554.0,24.0,2022
,San Ramon,87226.0,57.0,0.0,10.0,16.0,31.0,807.0,117.0,621.0,69.0,,2022
,Santa Barbara,87817.0,400.0,3.0,45.0,80.0,272.0,1795.0,226.0,1400.0,169.0,,2022
,Santa Clara,126877.0,396.0,1.0,35.0,86.0,274.0,4564.0,646.0,3394.0,524.0,22.0,2022
,Santa Clarita,220765.0,360.0,0.0,40.0,89.0,231.0,2409.0,361.0,1687.0,361.0,,2022
,Santa Cruz,61650.0,447.0,1.0,38.0,122.0,286.0,2226.0,253.0,1782.0,191.0,40.0,2022
,Santa Fe Springs,18282.0,122.0,3.0,9.0,43.0,67.0,1329.0,175.0,820.0,334.0,,2022
,Santa Maria,109518.0,712.0,10.0,74.0,209.0,419.0,3039.0,393.0,1504.0,1142.0,33.0,2022
,Santa Monica,89527.0,765.0,3.0,43.0,228.0,491.0,4057.0,665.0,2823.0,569.0,67.0,2022
,Santa Paula,30851.0,102.0,0.0,5.0,19.0,78.0,342.0,68.0,225.0,49.0,9.0,2022
,Santa Rosa,175999.0,597.0,10.0,130.0,98.0,359.0,2392.0,439.0,1561.0,392.0,35.0,2022
,Santee,59351.0,154.0,1.0,10.0,31.0,112.0,534.0,74.0,387.0,73.0,10.0,2022
,Saratoga,29306.0,12.0,0.0,3.0,5.0,4.0,239.0,109.0,123.0,7.0,,2022
,Sausalito,7152.0,8.0,0.0,0.0,0.0,8.0,197.0,32.0,147.0,18.0,,2022
,Scotts Valley,12196.0,34.0,0.0,11.0,3.0,20.0,169.0,33.0,125.0,11.0,0.0,2022
,Seal Beach,24665.0,80.0,0.0,6.0,10.0,64.0,603.0,122.0,428.0,53.0,4.0,2022
,Seaside,31864.0,134.0,0.0,10.0,21.0,103.0,394.0,48.0,293.0,53.0,3.0,2022
,Sebastopol,7393.0,33.0,0.0,2.0,4.0,27.0,126.0,18.0,101.0,7.0,,2022
,Selma,24595.0,144.0,0.0,7.0,19.0,118.0,629.0,103.0,424.0,102.0,,2022
,Shafter,21304.0,84.0,0.0,6.0,10.0,68.0,500.0,86.0,299.0,115.0,,2022
,Sierra Madre,10778.0,10.0,0.0,0.0,2.0,8.0,98.0,34.0,57.0,7.0,0.0,2022
,Signal Hill,11312.0,83.0,0.0,1.0,27.0,55.0,699.0,97.0,397.0,205.0,,2022
,Simi Valley,125585.0,119.0,2.0,22.0,17.0,78.0,1069.0,174.0,791.0,104.0,,2022
,Solana Beach,12778.0,20.0,0.0,1.0,4.0,15.0,234.0,42.0,166.0,26.0,0.0,2022
,Soledad,24811.0,75.0,3.0,5.0,18.0,49.0,185.0,32.0,125.0,28.0,1.0,2022
,Solvang,5985.0,12.0,0.0,2.0,1.0,9.0,70.0,13.0,51.0,6.0,,2022
,Sonora,5025.0,41.0,0.0,7.0,2.0,32.0,220.0,31.0,166.0,23.0,,2022
,South El Monte,19523.0,126.0,1.0,5.0,35.0,85.0,868.0,295.0,377.0,196.0,,2022
,South Gate,89698.0,493.0,5.0,25.0,200.0,263.0,2943.0,332.0,1710.0,901.0,,2022
,South Lake Tahoe,21525.0,135.0,0.0,11.0,20.0,104.0,345.0,54.0,233.0,58.0,,2022
,South Pasadena,25744.0,46.0,1.0,3.0,8.0,34.0,474.0,91.0,317.0,66.0,,2022
,South San Francisco,62427.0,246.0,2.0,14.0,48.0,182.0,1764.0,223.0,1304.0,237.0,,2022
,Stallion Springs,2465.0,3.0,0.0,0.0,0.0,3.0,10.0,4.0,5.0,1.0,,2022
,Stanton,38038.0,153.0,2.0,5.0,48.0,98.0,801.0,162.0,521.0,118.0,6.0,2022
,St. Helena,5347.0,15.0,0.0,8.0,1.0,6.0,72.0,8.0,57.0,7.0,,2022
,Stockton,323501.0,3742.0,48.0,178.0,980.0,2536.0,8878.0,1760.0,5636.0,1482.0,201.0,2022
,Suisun City,28917.0,103.0,1.0,21.0,16.0,65.0,476.0,32.0,379.0,65.0,10.0,2022
,Sunnyvale,148739.0,326.0,0.0,45.0,83.0,198.0,3654.0,621.0,2633.0,400.0,30.0,2022
,Susanville,16493.0,81.0,2.0,2.0,10.0,67.0,198.0,36.0,140.0,22.0,4.0,2022
,Sutter Creek,2738.0,3.0,0.0,1.0,0.0,2.0,45.0,2.0,34.0,9.0,,2022
,Taft,8674.0,68.0,0.0,1.0,11.0,56.0,278.0,30.0,201.0,47.0,,2022
,Tehachapi,13212.0,61.0,0.0,6.0,13.0,42.0,292.0,44.0,190.0,58.0,,2022
,Temecula,111611.0,175.0,1.0,12.0,65.0,97.0,2651.0,438.0,1903.0,310.0,,2022
,Temple City,35103.0,70.0,2.0,2.0,23.0,43.0,517.0,185.0,285.0,47.0,,2022
,Thousand Oaks,124862.0,72.0,1.0,9.0,27.0,35.0,1381.0,158.0,1118.0,105.0,,2022
,Tiburon,8997.0,4.0,0.0,2.0,0.0,2.0,67.0,16.0,46.0,5.0,,2022
,Torrance,140499.0,372.0,2.0,33.0,141.0,196.0,3709.0,466.0,2519.0,724.0,18.0,2022
,Tracy,97219.0,289.0,2.0,22.0,58.0,207.0,1474.0,152.0,1112.0,210.0,16.0,2022
,Truckee,17486.0,102.0,0.0,3.0,5.0,94.0,141.0,34.0,79.0,28.0,4.0,2022
,Tulare,72303.0,434.0,9.0,41.0,87.0,297.0,1535.0,250.0,809.0,476.0,20.0,2022
,Tulelake,903.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,,2022
,Turlock,72753.0,418.0,4.0,40.0,106.0,268.0,2087.0,278.0,1560.0,249.0,49.0,2022
,Tustin,78841.0,252.0,0.0,21.0,65.0,166.0,1960.0,229.0,1493.0,238.0,4.0,2022
,Twentynine Palms,27463.0,150.0,0.0,9.0,10.0,131.0,201.0,77.0,88.0,36.0,,2022
,Ukiah,16764.0,99.0,2.0,12.0,20.0,65.0,226.0,68.0,101.0,57.0,,2022
,Upland,79430.0,275.0,5.0,21.0,73.0,176.0,1626.0,340.0,1050.0,236.0,13.0,2022
,Vacaville,103486.0,325.0,1.0,45.0,64.0,215.0,1920.0,221.0,1493.0,206.0,,2022
,Vallejo,123940.0,1207.0,22.0,90.0,361.0,734.0,5245.0,904.0,3213.0,1128.0,49.0,2022
,Ventura,109439.0,388.0,1.0,29.0,70.0,288.0,2391.0,348.0,1839.0,204.0,,2022
,Vernon,212.0,43.0,0.0,1.0,17.0,25.0,738.0,114.0,450.0,174.0,7.0,2022
,Victorville,137169.0,1290.0,17.0,68.0,218.0,987.0,2486.0,578.0,1366.0,542.0,51.0,2022
,Villa Park,5712.0,2.0,0.0,0.0,0.0,2.0,51.0,18.0,30.0,3.0,0.0,2022
,Visalia,144137.0,716.0,9.0,71.0,130.0,506.0,3421.0,390.0,2421.0,610.0,134.0,2022
,Vista,98802.0,378.0,1.0,16.0,81.0,280.0,1454.0,289.0,852.0,313.0,9.0,2022
,Walnut,27253.0,35.0,1.0,3.0,10.0,21.0,435.0,152.0,240.0,43.0,,2022
,Waterford,9183.0,20.0,0.0,0.0,7.0,13.0,71.0,11.0,48.0,12.0,,2022
,Watsonville,51517.0,302.0,1.0,31.0,56.0,214.0,959.0,137.0,611.0,211.0,,2022
,Weed,2888.0,29.0,0.0,7.0,3.0,19.0,56.0,17.0,34.0,5.0,,2022
,West Covina,104739.0,424.0,3.0,35.0,119.0,267.0,2417.0,343.0,1666.0,408.0,14.0,2022
,West Hollywood,34185.0,324.0,0.0,20.0,124.0,180.0,2257.0,322.0,1757.0,178.0,,2022
,Westlake Village,7678.0,10.0,0.0,0.0,3.0,7.0,144.0,41.0,93.0,10.0,,2022
,Westminster,89490.0,355.0,4.0,18.0,138.0,195.0,2660.0,477.0,1725.0,458.0,,2022
,West Sacramento,53643.0,93.0,1.0,9.0,28.0,55.0,537.0,58.0,404.0,75.0,,2022
,Wheatland,3804.0,0.0,0.0,0.0,0.0,0.0,39.0,7.0,26.0,6.0,,2022
,Wildomar,37463.0,44.0,0.0,5.0,8.0,31.0,678.0,99.0,451.0,128.0,,2022
,Williams,5655.0,22.0,0.0,2.0,0.0,20.0,83.0,11.0,60.0,12.0,2.0,2022
,Willits,4963.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,,2022
,Winters,7531.0,5.0,0.0,1.0,2.0,2.0,73.0,3.0,59.0,11.0,,2022
,Woodlake,7707.0,26.0,0.0,0.0,0.0,26.0,53.0,8.0,36.0,9.0,,2022
,Woodland,61883.0,220.0,1.0,26.0,28.0,165.0,1361.0,216.0,949.0,196.0,35.0,2022
,Yorba Linda,67550.0,36.0,0.0,1.0,9.0,26.0,673.0,158.0,441.0,74.0,0.0,2022
,Yountville,3349.0,16.0,0.0,2.0,1.0,13.0,38.0,2.0,33.0,3.0,,2022
,Yreka,7865.0,118.0,0.0,5.0,0.0,113.0,370.0,35.0,278.0,57.0,,2022
,Yuba City,69122.0,380.0,2.0,46.0,63.0,269.0,1565.0,187.0,1135.0,243.0,9.0,2022
,Yucaipa,54873.0,190.0,1.0,13.0,21.0,155.0,714.0,154.0,447.0,113.0,,2022
,Yucca Valley,21890.0,133.0,1.0,6.0,12.0,114.0,265.0,66.0,139.0,60.0,,2022
COLORADO,Alamosa,9874.0,76.0,4.0,13.0,5.0,54.0,609.0,63.0,509.0,37.0,11.0,2022
,Arvada,122403.0,317.0,1.0,36.0,57.0,223.0,3712.0,436.0,2464.0,812.0,24.0,2022
,Aspen,6910.0,14.0,0.0,6.0,0.0,8.0,215.0,14.0,195.0,6.0,0.0,2022
,Ault,2913.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,2.0,1.0,2022
,Aurora,392134.0,4225.0,54.0,296.0,827.0,3048.0,16585.0,1821.0,7959.0,6805.0,113.0,2022
,Avon,5968.0,23.0,0.0,3.0,1.0,19.0,87.0,11.0,69.0,7.0,0.0,2022
,Basalt,4163.0,2.0,0.0,0.0,0.0,2.0,39.0,2.0,36.0,1.0,0.0,2022
,Bayfield,2929.0,5.0,0.0,3.0,0.0,2.0,40.0,6.0,25.0,9.0,0.0,2022
,Black Hawk,129.0,8.0,0.0,2.0,4.0,2.0,311.0,5.0,277.0,29.0,0.0,2022
,Boulder,103099.0,383.0,7.0,51.0,49.0,276.0,3093.0,471.0,2298.0,324.0,25.0,2022
,Breckenridge,4953.0,14.0,0.0,9.0,1.0,4.0,148.0,12.0,129.0,7.0,1.0,2022
,Brighton,41205.0,170.0,3.0,38.0,5.0,124.0,1209.0,95.0,833.0,281.0,12.0,2022
,Broomfield,76137.0,112.0,3.0,31.0,12.0,66.0,1993.0,208.0,1395.0,390.0,3.0,2022
,Buena Vista,3103.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,27.0,2.0,1.0,2022
,Burlington,3043.0,3.0,0.0,0.0,0.0,3.0,44.0,11.0,28.0,5.0,0.0,2022
,Canon City,17582.0,83.0,1.0,7.0,12.0,63.0,498.0,57.0,398.0,43.0,10.0,2022
,Carbondale,6528.0,15.0,0.0,4.0,0.0,11.0,35.0,3.0,30.0,2.0,2.0,2022
,Castle Rock,79102.0,25.0,3.0,5.0,3.0,14.0,920.0,63.0,795.0,62.0,6.0,2022
,Centennial,105849.0,209.0,1.0,14.0,16.0,178.0,2233.0,324.0,1437.0,472.0,14.0,2022
,Center,1933.0,8.0,0.0,1.0,0.0,7.0,30.0,3.0,23.0,4.0,0.0,2022
,Cherry Hills Village,6275.0,1.0,0.0,1.0,0.0,0.0,66.0,12.0,37.0,17.0,0.0,2022
,Colorado Springs,487728.0,3135.0,45.0,446.0,365.0,2279.0,16583.0,2686.0,11164.0,2733.0,207.0,2022
,Commerce City,65817.0,467.0,6.0,60.0,61.0,340.0,2502.0,267.0,1389.0,846.0,15.0,2022
,Cortez,8985.0,46.0,2.0,11.0,5.0,28.0,266.0,29.0,215.0,22.0,8.0,2022
,Craig,8910.0,17.0,0.0,0.0,0.0,17.0,138.0,16.0,106.0,16.0,0.0,2022
,Crested Butte,1696.0,4.0,0.0,0.0,0.0,4.0,8.0,1.0,6.0,1.0,0.0,2022
,Cripple Creek,1146.0,1.0,0.0,0.0,0.0,1.0,59.0,1.0,56.0,2.0,0.0,2022
,Dacono,6635.0,5.0,0.0,3.0,1.0,1.0,75.0,7.0,53.0,15.0,0.0,2022
,Del Norte,1442.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,2022
,Delta,9373.0,11.0,0.0,2.0,0.0,9.0,351.0,51.0,256.0,44.0,3.0,2022
,Denver,705264.0,7545.0,90.0,756.0,1301.0,5398.0,45336.0,5171.0,24964.0,15201.0,195.0,2022
,Dillon,1045.0,6.0,0.0,1.0,0.0,5.0,18.0,3.0,13.0,2.0,0.0,2022
,Eagle,7614.0,11.0,0.0,2.0,0.0,9.0,60.0,9.0,47.0,4.0,0.0,2022
,Eaton,5898.0,10.0,0.0,2.0,0.0,8.0,55.0,5.0,39.0,11.0,0.0,2022
,Edgewater,4892.0,17.0,0.0,2.0,5.0,10.0,416.0,19.0,318.0,79.0,0.0,2022
,Elizabeth,2344.0,3.0,0.0,1.0,0.0,2.0,14.0,0.0,11.0,3.0,0.0,2022
,Englewood,33452.0,272.0,4.0,37.0,45.0,186.0,2392.0,323.0,1441.0,628.0,20.0,2022
,Erie,32832.0,15.0,0.0,7.0,0.0,8.0,340.0,52.0,244.0,44.0,2.0,2022
,Estes Park,5839.0,8.0,0.0,0.0,0.0,8.0,50.0,10.0,36.0,4.0,1.0,2022
,Evans,22333.0,62.0,0.0,22.0,9.0,31.0,602.0,66.0,340.0,196.0,1.0,2022
,Fairplay,732.0,2.0,0.0,1.0,0.0,1.0,24.0,7.0,15.0,2.0,0.0,2022
,Federal Heights,13987.0,118.0,0.0,17.0,20.0,81.0,496.0,61.0,249.0,186.0,6.0,2022
,Florence,3990.0,5.0,0.0,0.0,0.0,5.0,13.0,1.0,8.0,4.0,0.0,2022
,Fort Collins,168045.0,540.0,2.0,56.0,46.0,436.0,4379.0,411.0,3493.0,475.0,25.0,2022
,Fort Lupton,8539.0,55.0,0.0,16.0,5.0,34.0,258.0,31.0,148.0,79.0,0.0,2022
,Fort Morgan,11331.0,50.0,0.0,11.0,1.0,38.0,361.0,63.0,270.0,28.0,3.0,2022
,Fountain,29447.0,101.0,1.0,21.0,23.0,56.0,620.0,96.0,438.0,86.0,10.0,2022
,Frisco,2858.0,7.0,0.0,1.0,1.0,5.0,51.0,7.0,39.0,5.0,0.0,2022
,Fruita,13632.0,32.0,0.0,17.0,2.0,13.0,141.0,21.0,114.0,6.0,6.0,2022
,Glendale,4502.0,84.0,1.0,14.0,9.0,60.0,944.0,105.0,595.0,244.0,6.0,2022
,Glenwood Springs,10664.0,37.0,0.0,13.0,4.0,20.0,393.0,53.0,317.0,23.0,0.0,2022
,Golden,19638.0,41.0,0.0,2.0,3.0,36.0,797.0,112.0,584.0,101.0,6.0,2022
,Granada,451.0,3.0,0.0,1.0,0.0,2.0,6.0,2.0,3.0,1.0,0.0,2022
,Granby,2176.0,3.0,0.0,1.0,0.0,2.0,25.0,3.0,22.0,0.0,0.0,2022
,Grand Junction,68126.0,346.0,4.0,55.0,28.0,259.0,2140.0,274.0,1677.0,189.0,13.0,2022
,Greeley,109258.0,636.0,8.0,59.0,94.0,475.0,3455.0,375.0,2079.0,1001.0,30.0,2022
,Greenwood Village,15351.0,68.0,0.0,15.0,13.0,40.0,1194.0,152.0,800.0,242.0,5.0,2022
,Gunnison,6914.0,22.0,0.0,2.0,0.0,20.0,132.0,15.0,109.0,8.0,1.0,2022
,Gypsum,8994.0,9.0,0.0,2.0,0.0,7.0,55.0,5.0,43.0,7.0,0.0,2022
,Hayden,1993.0,1.0,0.0,0.0,0.0,1.0,38.0,9.0,26.0,3.0,0.0,2022
,Holyoke,2319.0,3.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,2022
,Hudson,1624.0,8.0,0.0,3.0,0.0,5.0,52.0,7.0,36.0,9.0,0.0,2022
,Hugo,790.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0,2022
,Idaho Springs,1766.0,7.0,0.0,6.0,0.0,1.0,73.0,11.0,55.0,7.0,0.0,2022
,Ignacio,863.0,2.0,0.0,0.0,0.0,2.0,7.0,2.0,4.0,1.0,0.0,2022
,Johnstown,19093.0,46.0,0.0,9.0,1.0,36.0,632.0,15.0,541.0,76.0,0.0,2022
,Kersey,1489.0,2.0,0.0,1.0,0.0,1.0,31.0,1.0,14.0,16.0,0.0,2022
,Kremmling,1501.0,4.0,0.0,2.0,0.0,2.0,25.0,16.0,7.0,2.0,0.0,2022
,Lafayette,31204.0,64.0,1.0,19.0,7.0,37.0,829.0,98.0,616.0,115.0,3.0,2022
,La Junta,7264.0,28.0,3.0,10.0,1.0,14.0,365.0,64.0,263.0,38.0,3.0,2022
,Lakewood,157068.0,1278.0,12.0,111.0,286.0,869.0,8362.0,1089.0,5159.0,2114.0,66.0,2022
,La Salle,2326.0,5.0,0.0,4.0,0.0,1.0,49.0,2.0,36.0,11.0,0.0,2022
,Limon,2047.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,2022
,Littleton,44821.0,110.0,1.0,31.0,22.0,56.0,1457.0,269.0,881.0,307.0,8.0,2022
,Lone Tree,14204.0,68.0,2.0,8.0,24.0,34.0,1563.0,80.0,1402.0,81.0,9.0,2022
,Longmont,101159.0,448.0,8.0,125.0,29.0,286.0,2855.0,319.0,2138.0,398.0,35.0,2022
,Louisville,20587.0,36.0,0.0,7.0,1.0,28.0,496.0,75.0,361.0,60.0,5.0,2022
,Loveland,77770.0,259.0,5.0,49.0,25.0,180.0,2071.0,228.0,1608.0,235.0,14.0,2022
,Manitou Springs,4782.0,14.0,0.0,2.0,0.0,12.0,102.0,28.0,62.0,12.0,7.0,2022
,Meeker,2310.0,2.0,0.0,1.0,0.0,1.0,21.0,4.0,13.0,4.0,0.0,2022
,Milliken,8948.0,2.0,0.0,1.0,0.0,1.0,37.0,1.0,26.0,10.0,0.0,2022
,Monte Vista,4144.0,15.0,0.0,2.0,1.0,12.0,166.0,30.0,121.0,15.0,0.0,2022
,Montrose,20944.0,29.0,0.0,2.0,1.0,26.0,555.0,47.0,466.0,42.0,2.0,2022
,Monument,11300.0,32.0,0.0,7.0,14.0,11.0,224.0,20.0,189.0,15.0,0.0,2022
,Mountain View,531.0,3.0,0.0,0.0,1.0,2.0,9.0,2.0,4.0,3.0,0.0,2022
,Mountain Village,1269.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,15.0,0.0,0.0,2022
,Mount Crested Butte,998.0,5.0,0.0,0.0,0.0,5.0,7.0,0.0,7.0,0.0,0.0,2022
,Northglenn,36634.0,214.0,7.0,31.0,29.0,147.0,1555.0,152.0,992.0,411.0,26.0,2022
,Palisade,2600.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,27.0,2.0,1.0,2022
,Parker,61865.0,139.0,2.0,34.0,5.0,98.0,1060.0,156.0,752.0,152.0,9.0,2022
,Platteville,3930.0,3.0,0.0,2.0,1.0,0.0,45.0,4.0,31.0,10.0,0.0,2022
,Pueblo,112618.0,1825.0,29.0,183.0,362.0,1251.0,7196.0,1336.0,4154.0,1706.0,85.0,2022
,Rangely,2283.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2022
,Rifle,10612.0,40.0,0.0,15.0,1.0,24.0,208.0,23.0,154.0,31.0,2.0,2022
,Rocky Ford,3837.0,3.0,0.0,0.0,0.0,3.0,22.0,4.0,15.0,3.0,0.0,2022
,Salida,5912.0,14.0,0.0,1.0,0.0,13.0,46.0,7.0,36.0,3.0,0.0,2022
,Severance,11574.0,12.0,0.0,4.0,0.0,8.0,20.0,1.0,12.0,7.0,1.0,2022
,Sheridan,5964.0,54.0,0.0,4.0,16.0,34.0,609.0,59.0,390.0,160.0,5.0,2022
,Silt,3583.0,4.0,0.0,2.0,0.0,2.0,14.0,1.0,12.0,1.0,0.0,2022
,Silverthorne,4870.0,6.0,0.0,1.0,2.0,3.0,92.0,3.0,81.0,8.0,0.0,2022
,Steamboat Springs,13593.0,32.0,0.0,15.0,1.0,16.0,208.0,25.0,171.0,12.0,1.0,2022
,Sterling,13713.0,40.0,0.0,8.0,2.0,30.0,368.0,60.0,284.0,24.0,4.0,2022
,Thornton,143055.0,408.0,3.0,137.0,92.0,176.0,4982.0,375.0,3407.0,1200.0,33.0,2022
,Timnath,9063.0,6.0,0.0,2.0,0.0,4.0,113.0,5.0,105.0,3.0,1.0,2022
,Trinidad,8350.0,69.0,0.0,6.0,1.0,62.0,304.0,83.0,200.0,21.0,3.0,2022
,Vail,4657.0,16.0,0.0,2.0,3.0,11.0,186.0,13.0,165.0,8.0,0.0,2022
,Westminster,112844.0,374.0,2.0,48.0,92.0,232.0,5042.0,448.0,3128.0,1466.0,31.0,2022
,Wheat Ridge,33104.0,130.0,0.0,17.0,30.0,83.0,1681.0,166.0,1118.0,397.0,15.0,2022
,Windsor,38498.0,11.0,0.0,0.0,0.0,11.0,221.0,15.0,165.0,41.0,3.0,2022
,Woodland Park,8025.0,15.0,0.0,3.0,0.0,12.0,121.0,7.0,102.0,12.0,3.0,2022
,Wray,2298.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,2022
CONNECTICUT,Ansonia,18750.0,23.0,1.0,5.0,9.0,8.0,371.0,14.0,318.0,39.0,0.0,2022
,Avon,18806.0,1.0,0.0,0.0,0.0,1.0,131.0,9.0,100.0,22.0,0.0,2022
,Berlin,20109.0,10.0,0.0,2.0,4.0,4.0,385.0,32.0,329.0,24.0,1.0,2022
,Bethel,20728.0,5.0,0.0,2.0,1.0,2.0,147.0,12.0,123.0,12.0,2.0,2022
,Bloomfield,21461.0,18.0,0.0,1.0,8.0,9.0,647.0,34.0,577.0,36.0,2.0,2022
,Branford,28138.0,24.0,1.0,12.0,6.0,5.0,480.0,18.0,426.0,36.0,1.0,2022
,Bridgeport,148395.0,606.0,15.0,52.0,277.0,262.0,1843.0,303.0,965.0,575.0,9.0,2022
,Bristol,60657.0,48.0,4.0,7.0,16.0,21.0,796.0,118.0,557.0,121.0,0.0,2022
,Brookfield,17492.0,10.0,0.0,0.0,3.0,7.0,151.0,10.0,129.0,12.0,0.0,2022
,Canton,10068.0,2.0,0.0,0.0,1.0,1.0,47.0,6.0,40.0,1.0,0.0,2022
,Cheshire,28612.0,3.0,0.0,0.0,1.0,2.0,221.0,11.0,180.0,30.0,0.0,2022
,Clinton,13566.0,15.0,0.0,4.0,4.0,7.0,249.0,12.0,227.0,10.0,0.0,2022
,Coventry,12252.0,4.0,0.0,2.0,0.0,2.0,66.0,3.0,53.0,10.0,0.0,2022
,Cromwell,14360.0,10.0,0.0,2.0,2.0,6.0,444.0,28.0,382.0,34.0,0.0,2022
,Danbury,87164.0,120.0,4.0,19.0,23.0,74.0,1138.0,106.0,931.0,101.0,6.0,2022
,Darien,21549.0,6.0,0.0,0.0,2.0,4.0,291.0,30.0,220.0,41.0,0.0,2022
,Derby,12243.0,44.0,0.0,0.0,11.0,33.0,373.0,30.0,267.0,76.0,1.0,2022
