State,City,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ARIZONA,Lake Havasu City4,2020,56243.0,105.0,0.0,27.0,3.0,75.0,790.0,115.0,619.0,56.0,7.0
ARIZONA,Mammoth,2020,1709.0,4.0,0.0,0.0,0.0,4.0,31.0,10.0,18.0,3.0,0.0
ARIZONA,Marana,2020,50942.0,39.0,0.0,6.0,7.0,26.0,1165.0,73.0,1047.0,45.0,7.0
ARIZONA,Maricopa,2020,53165.0,67.0,0.0,4.0,9.0,54.0,615.0,75.0,478.0,62.0,0.0
ARIZONA,Mesa4,2020,527361.0,1960.0,19.0,235.0,380.0,1326.0,9737.0,1597.0,7124.0,1016.0,22.0
ARIZONA,Nogales,2020,20026.0,38.0,0.0,0.0,1.0,37.0,565.0,63.0,369.0,133.0,
ARIZONA,Oro Valley4,2020,46634.0,27.0,0.0,3.0,8.0,16.0,559.0,40.0,501.0,18.0,1.0
ARIZONA,Page,2020,7546.0,97.0,0.0,11.0,5.0,81.0,267.0,15.0,235.0,17.0,
ARIZONA,Paradise Valley,2020,14859.0,15.0,0.0,2.0,2.0,11.0,216.0,31.0,175.0,10.0,
ARIZONA,Parker4,2020,3224.0,7.0,0.0,0.0,1.0,6.0,77.0,24.0,43.0,10.0,2.0
ARIZONA,Payson4,2020,15869.0,100.0,0.0,0.0,2.0,98.0,332.0,74.0,238.0,20.0,4.0
ARIZONA,Peoria,2020,178486.0,471.0,3.0,68.0,73.0,327.0,2683.0,431.0,2037.0,215.0,9.0
ARIZONA,Phoenix,2020,1708960.0,13646.0,187.0,1068.0,3278.0,9113.0,51089.0,7406.0,36254.0,7429.0,297.0
ARIZONA,Pima,2020,2580.0,5.0,0.0,0.0,0.0,5.0,21.0,2.0,16.0,3.0,
ARIZONA,Pinetop-Lakeside,2020,4490.0,37.0,0.0,5.0,6.0,26.0,111.0,9.0,97.0,5.0,
ARIZONA,Prescott,2020,44835.0,168.0,0.0,31.0,3.0,134.0,657.0,129.0,494.0,34.0,
ARIZONA,Prescott Valley,2020,47459.0,80.0,0.0,21.0,10.0,49.0,374.0,39.0,317.0,18.0,
ARIZONA,Sahuarita,2020,32053.0,36.0,1.0,3.0,4.0,28.0,273.0,26.0,236.0,11.0,0.0
ARIZONA,San Luis4,2020,35574.0,25.0,0.0,2.0,2.0,21.0,323.0,37.0,201.0,85.0,0.0
ARIZONA,Scottsdale,2020,263006.0,470.0,7.0,109.0,97.0,257.0,4945.0,683.0,3963.0,299.0,21.0
ARIZONA,Show Low,2020,11527.0,75.0,0.0,10.0,1.0,64.0,313.0,37.0,259.0,17.0,2.0
ARIZONA,Sierra Vista,2020,42800.0,82.0,1.0,4.0,12.0,65.0,888.0,85.0,764.0,39.0,
ARIZONA,Snowflake-Taylor,2020,10384.0,66.0,1.0,0.0,1.0,64.0,116.0,26.0,81.0,9.0,
ARIZONA,Somerton4,2020,16811.0,35.0,1.0,2.0,3.0,29.0,112.0,30.0,61.0,21.0,0.0
ARIZONA,South Tucson,2020,5723.0,113.0,1.0,11.0,15.0,86.0,665.0,108.0,515.0,42.0,4.0
ARIZONA,Springerville,2020,1979.0,3.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,3.0,0.0
ARIZONA,St. Johns,2020,3514.0,16.0,0.0,9.0,0.0,7.0,30.0,9.0,19.0,2.0,2.0
ARIZONA,Superior,2020,3212.0,15.0,0.0,1.0,1.0,13.0,75.0,26.0,42.0,7.0,1.0
ARIZONA,Surprise4,2020,144620.0,209.0,2.0,34.0,30.0,143.0,2006.0,170.0,1677.0,159.0,14.0
